Year,Status,Adult_Mortality,Alcohol,percentage_expenditure,BMI,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling,Life_expectancy
2014,Developing,245,0.01,5.103249438,48.8,7.56,48,0.5,83.1148117,1572466,0.487,9.1,63.1
2013,Developing,119,8.28,1001.796332,61.6,4.99,94,0.1,12976.63642,42539925,0.823,17.3,76
2009,Developing,123,0.5,352.0636419,52.8,5.36,95,0.1,3868.83123,3546576,0.705,13.1,74.4
2007,Developed,63,8.37,5228.821581,59.4,8.48,97,0.1,37698.78573,5843831,0.862,16.1,81.3
2010,Developing,91,5.28,41.82275719,54.3,5.34,99,0.1,494.358832,291321,0.725,12.5,76.2
2010,Developing,94,4.54,630.3883564,53.1,9.58,89,0.1,4611.47298,372284,0.717,13.3,76.4
2003,Developing,146,1.69,72.4280894,15.6,3.95,99,0.1,989.4547732,1983,0.697,12.7,73.9
2000,Developed,11,11.89,167.3280168,5.1,9.14,96,0.1,1152.39681,1289898,0.777,15.5,76.6
2014,Developing,121,3.82,79.11626341,53.5,9.16,83,0.1,6432.216537,1593112,0.737,14,76
2008,Developing,275,1.78,161.0106435,24.2,4.85,93,2.2,1224.41554,2329864,0.53,9.8,63
2012,Developed,61,9.35,4255.781693,64.8,9.39,97,0.1,28562.29324,4677355,0.871,17.2,82
2005,Developing,71,2.41,250.9343317,6.6,7.44,93,0.1,2611.17931,6931,0.866,15.8,80
2009,Developing,96,4.07,24.88720369,54.4,9.69,86,0.1,689.396224,4488263,0.747,13.1,79.2
2009,Developing,232,0.17,27.48907048,19.5,6.3,93,0.4,177.234497,714458,0,10.9,67.4
2010,Developing,12,1.28,64.85616718,56.5,6.54,98,0.1,414.15177,1639931,0.71,14.4,74.8
2013,Developing,19,1.41,188.1440348,64.5,5.38,98,0.1,12542.93565,75787333,0.754,14.4,75.2
2005,Developing,412,1.82,39.55677502,16.4,4.36,76,11.6,519.7999346,3648288,0.474,9.6,54.1
2006,Developing,249,0.03,75.25799773,53.2,3,59,0.1,2351.812429,27697912,0.631,10.2,64.7
2006,Developing,394,5.22,0.962497052,23.8,4.69,81,7.2,12.989164,17899562,0.456,8.2,53.3
2004,Developing,16,1.6,611.9093566,17.3,5.89,96,0.1,3853.33348,312,0.617,12.2,73.4
2007,Developing,226,14.22,464.077513,57.7,6.44,95,0.1,4735.484827,956953,0.739,14.9,69.8
2006,Developing,75,8.2,771.1817686,61.9,9.75,95,0.1,4386.69948,325755,0.891,15.8,85
2002,Developing,174,3.3,208.1688437,67.4,5.1,86,0.1,1631.41727,176582,0.653,12.1,76
2004,Developing,284,1.75,73.24150483,41.3,5.99,99,0.1,797.8377432,2496832,0.621,11.2,64
2014,Developing,79,11.5,6739.677606,62,11.54,98,0.1,42955.24287,66331957,0.89,16.2,82.2
2001,Developing,254,10.74,14.06141699,54.9,6.62,99,0.1,1244.373185,9928549,0.681,13.3,67.7
2012,Developing,231,0.01,253.8285861,49.2,4.22,99,0.1,4368.82248,2814226,0.712,14.7,67.8
2012,Developed,61,10.03,11714.99858,65,9.36,92,0.1,67677.63477,22728254,0.93,20.1,82.3
2000,Developing,222,0.46,11.07543331,67.9,8.12,9,0.1,796.7937634,8446,0,10,64.1
2010,Developing,286,0.79,18.99961966,44.9,4.18,67,1.1,1366.879112,718239,0.485,9.6,61.8
2012,Developing,349,2.59,196.9152496,21.7,4.91,78,5.6,1734.93612,14699937,0.554,12.3,59.2
2002,Developing,127,4.77,12.1859723,54.1,5.52,97,0.1,716.8219,1435568,0.703,11.6,75
2005,Developing,446,10.09,44.52614001,14.5,9.36,64,8.7,315.788227,2854394,0.429,10.9,53.2
2009,Developing,263,0.11,5.665405066,16.9,6.98,71,1.1,341.2894618,15813913,0.307,4.2,57.1
2002,Developed,219,7.44,376.4570185,56,6.29,97,0.1,4132.34927,231173,0.746,14.8,73
2004,Developing,183,0.01,28.98323119,18.4,2.56,65,0.1,649.848233,15783,0.474,5.6,63.7
2009,Developing,175,0.03,0.697215581,21.3,2.94,71,0.1,16.63999,1674958,0.514,7.3,64.8
2009,Developing,183,0.22,6.19357029,15.9,6.41,89,0.2,48.7299,2674113,0.502,10.5,67.5
2006,Developing,13,5.38,595.7306923,56.5,8.1,9,0.1,4383.59597,61525,0.751,13.2,73.8
2004,Developing,162,3.62,310.6117683,68.9,4.45,55,0.1,2351.33814,178781,0.665,12.4,71.4
2007,Developing,189,17.87,1904.12469,56.3,5.16,95,0.1,16586.452,13468,0.829,16.1,73
2001,Developing,131,0.55,248.697463,54.8,9.9,99,0.1,1728.2659,5193482,0.706,12.7,71.9
2005,Developing,254,0.73,145.5965445,16.7,5.28,95,0.3,1247.61392,656639,0,9.2,65
2013,Developing,172,0.01,1521.672751,35.5,3.58,98,0.1,15687.34795,89949,0.762,13.5,72.9
2011,Developing,278,1.8,109.7051836,19.5,5.23,96,3.4,987.4453967,42486839,0.53,11.1,61.2
2009,Developing,281,0.01,56.76221682,16.2,9.42,63,0.1,445.8932979,284331,0.434,8.9,58.6
2009,Developing,311,0.63,1.575160196,15.5,3.3,92,1,43.7544499,431334,0.402,5.2,61.4
2009,Developing,215,0.01,11.14504291,26.8,3.79,64,1.2,146.83851,356288,0.476,7.1,61.7
2006,Developing,216,2.03,51.50447119,14.3,4.48,8,1.1,539.8791529,13474489,0.483,10.1,64.1
2009,Developing,149,0.83,361.0940984,48.2,3.9,66,0.1,2643.441423,23785,0.589,10.7,78
2003,Developed,71,6.7,1678.392773,63.9,8.6,94,0.1,13689.98999,398582,0.79,13.8,78.5
2000,Developing,194,5.88,0.27564826,18.7,3.4,97,0.8,27.564826,6295821,0.64,10.9,71.1
